Point,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
57,Ecuador,1010325080,979108815.6,958598183,1038389646,1156150862,1237593189,1333639229,1459699786,1558747201,1738833527,1674802833,1619776520,1931926152,2594243513,3927882998,4651229549,5686725733,6925319593,7778728875,9588596390,11900704786,13974698912,13194324575,11188362806,11386458405,11840675754,10309942622,9099361934,9098361006,9527567455,10355963787,11348439540,11996750826,15063220705,18581908127,20205685541,21278200686,23647336355,23266151903,16681996554,15941641913,21250000896,24899481000,28635909000,32642225000,37186942000,41705000000,45503600000,54208500000,52021900000,58910000000
58,Egypt; Arab Rep.,4144244345,4334054779,4003322844,4160465776,4781695715,5111620995,5339520809,5579168494,6109112180,6861743625,7682492054,8266003518,8763960987,9616725511,9015166924,11437965433,13360477195,14636028524,14849909083,18150000949,22912499712,23405404412,25592366135,28137368590,30642873686,34689560502,35880262453,40507934104,35044633281,39648442465,43130415154,36970555122,41855483504,46578631213,51897983716,60159244485,67629717780,78436575744,84828807270,90710703939,99838540997,97632008051,87850680573,82923680622,78845185709,89685724889,1.07E+11,1.3E+11,1.63E+11,1.89E+11,2.19E+11
59,El Salvador,625600000,636240000,706080000,746159936,822439936,877719961.6,929520025.6,976199987.2,1009760051,1049400013,1132920013,1186119987,1263720038,1442319974,1665879962,1884120064,2328280064,2941640090,3127959962,3463639859,3573959885,3437200179,3399189150,3506347772,3661683396,3800368587,3771663198,3958045811,4189880000,4372215335,4800907895,5310996633,5954671446,6937988506,8085554286,9500491429,10315542857,11134716450,12008418171,12464655104,13134147768,13812744074,14306700000,15046700000,15798300000,17070200000,18653600000,20376700000,22106800000,21100500000,21795720979
60,Equatorial Guinea,0,0,9122751.679,10840095.29,12712471.29,64748333.33,69110000,72317446.93,67514285.71,67225714.29,66331428.57,64946954.76,65429198.24,81203226.91,94159862.71,104295643.4,103653049.9,103987520.1,0,0,0,0,0,0,0,79591332.16,98848991.08,119715252.7,127202126.1,112006699.3,132136515.3,130595413.3,154184144.9,152130369.8,125745167.4,163980056.9,259074043.4,497741982,455800102.9,872015592,1254223037,1736112613,2146760325,2952360964,5240842353,8217298404,9603185319,12574935590,18423399315,12222203056,14006505450
61,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477101651.6,467876293.7,531688311.7,578015625,693535954.2,686494476.1,745526149.5,688921325.7,633600000,687595191.1,675480057,870232528,1109048051,1098393404,1211186992,1317983740,1380162602,1856715447,2117008130
62,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990490894,4664756288,5124453537,5009758612,4784154516,3986615194,3859654598,3964933826,4353053091,4728686726,5051702327,5598168503,5705472610,5675782345,6240081240,7324477179,9845350163,12031313316,13903289150,16604835553,21383914641,23517187208,19083960203,18673908194
63,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7269140971,7649012444,8502744998,8034754138,9408755195,9773749424,10447188525,10825913264,11389270974,12082576935,13361446739,14098012281,8763557094,6875170145,7605674116,8482883273,8890826693,8069437011,7827068145,8179533779,8168590427,7789548644,8556184066,10053969882,12306605473,15164485977,19552720846,26642461516,31962250072,29717009196
64,Faeroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105688873,1125684470,1062339944,1154899793,1268445919,1486861879,1683997930,1730894295,1970135199,2278229880,2412859693,2198138372,0
65,Fiji,112334368.4,116993977.8,122912941.2,129461581.5,140040154.3,147084750,150603925.5,162625885.9,166952937.1,182182067.7,219878482.2,247749327.7,316650509,425963354.3,558589870.9,684268314.9,694552425.1,719533150.2,829239489.8,1019743927,1202567355,1235899836,1194015410,1123107241,1177997414,1141210125,1290228617,1177908192,1109976928,1182686577,1337024782,1383843860,1531803061,1635426125,1825285158,1970347721,2129266728,2093994597,1656784780,1942170999,1684109743,1660102346,1842691481,2315935753,2727507213,3006725015,3103099942,3379863774,3565203890,2824829171,3009445285
66,Finland,5224102195,5921659485,6340580854,6885920329,7766655086,8589340019,9208524505,9368954010,8823033880,10070766720,11218177789,12373712873,14562308919,19233466843,24543963983,29111039276,31458685952,33088387192,35809386282,43918485727,52980554670,51760815652,52142592821,50249786507,52082508904,54941481197,72268355618,89987826322,1.07E+11,1.17E+11,1.39E+11,1.25E+11,1.1E+11,87322785469,1.01E+11,1.31E+11,1.28E+11,1.23E+11,1.3E+11,1.3E+11,1.22E+11,1.25E+11,1.35E+11,1.64E+11,1.89E+11,1.96E+11,2.08E+11,2.46E+11,2.7E+11,2.38E+11,2.39E+11
67,France,61552389493,66586071134,74640280632,83679144479,92771021020,1E+11,1.09E+11,1.17E+11,1.28E+11,1.4E+11,1.46E+11,1.64E+11,2.01E+11,2.61E+11,2.82E+11,3.56E+11,3.67E+11,4.05E+11,5E+11,6.05E+11,6.9E+11,6.05E+11,5.75E+11,5.5E+11,5.22E+11,5.43E+11,7.59E+11,9.18E+11,1E+12,1.01E+12,1.24E+12,1.25E+12,1.37E+12,1.3E+12,1.37E+12,1.57E+12,1.57E+12,1.42E+12,1.47E+12,1.46E+12,1.33E+12,1.34E+12,1.45E+12,1.79E+12,2.06E+12,2.14E+12,2.26E+12,2.58E+12,2.83E+12,2.62E+12,2.56E+12
68,French Polynesia,0,0,0,0,0,176534589.6,215659455,220984369.1,259590076.3,242943776.9,254035999.2,296613496.9,325843254.7,431254103,555337985.7,690319754.9,732286143.3,793193187.4,1005573294,1215031775,1362151524,1279972866,1286462643,1335895286,1378991403,1507230779,2301514717,2543199148,2687472830,2636461517,3181206305,3267367610,3558215110,3694600400,3522272321,3982374846,3954696874,3567062512,3775160797,3797016069,3447543138,0,0,0,0,0,0,0,0,0,0
69,Gabon,141469031.8,167637980.8,182796578.9,154480278.6,215679929.6,224830162.1,244679991.7,270606393.3,295317537.2,318431635.3,322278708,379244397.9,430197058,723394701.4,1545530146,2157521463,3009038413,2809459845,2389647226,3030274539,4279223852,3862289773,3617856491,3391240455,3561424387,3339936785,3403696217,3281759501,3834519069,4186428511,5952310992,5402937194,5592407751,4378645081,4190854791,4958830011,5694067051,5326811383,4483354804,4662985220,5067838984,4712839681,4931503862,6054886442,7178135733,8665738964,9545984815,11570855623,14532816810,10950127946,13011421194
70,Gambia; The,0,0,0,0,0,0,44204926.88,46702996.3,41160656.32,45168720.23,52296833.9,55717759.75,59170416.94,75205639.45,95791936.46,115182524.1,112174343.3,138094263.6,171812083.4,207158286.9,241080736,218786411,216004321.5,213414201.2,177343744.5,225719039.5,185298351.5,220638963.3,266649275.1,284067251.3,316922483.4,316778362.1,347446023.6,366381861.1,363032586.7,381945341.4,391832142.8,409636274.3,416555766.8,431935044.7,420894585.2,417921838.8,369731927.2,367172050.1,400799200.8,461032371,508301859.9,650934673.4,821917808.2,733483568.1,806523947.8
71,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7737994864,6337314652,3691110628,2701180604,2513870709,2693731880,3094915506,3510540844,3613500142,2800024342,3057453461,3219487823,3395778661,3991374540,5125763952,6411141778,7745401718,10172869674,12795044475,10766809096,11667377224
72,Germany,0,0,0,0,0,0,0,0,0,0,2.09E+11,2.42E+11,2.9E+11,3.86E+11,4.31E+11,4.75E+11,5.03E+11,5.81E+11,7.17E+11,8.53E+11,9.2E+11,7.75E+11,7.52E+11,7.46E+11,7.02E+11,7.09E+11,1.01E+12,1.26E+12,1.36E+12,1.35E+12,1.71E+12,1.81E+12,2.06E+12,2E+12,2.15E+12,2.52E+12,2.44E+12,2.16E+12,2.18E+12,2.14E+12,1.9E+12,1.89E+12,2.02E+12,2.44E+12,2.75E+12,2.79E+12,2.92E+12,3.33E+12,3.63E+12,3.33E+12,3.31E+12
73,Ghana,1217152698,1301712191,1381791710,1540270760,1730669617,2052919008,2125717555,1734263371,1666209190,1960701626,2214131704,2429084894,2125150895,2465633787,2894472084,2810106288,2765339025,3189542912,3662495575,4020227804,4445228031,4222441904,4035994542,4057275047,4412279889,4504342092,5727602711,5074830092,5195042325,5248940866,5886003649,6599578349,6412625105,5965704272,5440519991,6457441706,6925530172,6884024596,7474018854,7709811561,4977488790,5309158304,6159567360,7624164926,8871872035,10720345993,20388317032,24632480407,28526922399,26169336384,31305891329
74,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Greece,4446528163,5016048785,5327573508,5949478033,6680298249,7600579091,8455611127,9136711285,9915140544,11266091567,12644521250,14041680909,16248963750,21505384350,24395621818,27450514772,29978452239,34812475208,42601321707,52428039098,54687320144,50373168635,52559022806,47565521633,46209784160,46018118554,54254217235,63177798691,73386409729,76184559148,94200829815,1.01E+11,1.12E+11,1.05E+11,1.12E+11,1.32E+11,1.39E+11,1.36E+11,1.37E+11,1.34E+11,1.26E+11,1.31E+11,1.47E+11,1.95E+11,2.3E+11,2.42E+11,2.65E+11,3.11E+11,3.47E+11,3.26E+11,3.05E+11
76,Greenland,0,0,0,0,0,0,0,0,0,0,69520029.27,88570999.35,106101302.5,140153753.7,169918944.1,211192463.7,240779415.7,282269773,355987428.4,420645795,476051769,435749013.9,402403057.2,416184086.2,379371913.7,412876395.8,603016317.5,787390447.3,898607670.6,929799902.2,1018977225,1016500016,1037916105,927214127.9,1005887592,1208953359,1197515638,1072154407,1149858127,1131555107,1068024994,1086170639,1169136691,1426452030,1644951892,1702543477,1738432116,2121759848,1739579594,1267711816,0
77,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53322221.28,67548146.96,78314813.43,83614813.34,87888887.34,95229627.95,101211115.2,110100004,128211102.9,144011114.5,167229626.7,184533330.1,213066662.9,221070360.5,241570366.1,250914816.3,250259243,261777773.2,276296291.4,294651846.6,304940747.2,340814808.8,379629397.7,429579259.8,422328925.3,437249042.9,480225509.8,469329346.1,553861241.8,564437837.6,610316806.5,678487940.5,614844433.6,627851840.8
78,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Guatemala,1043599936,1076699904,1143600000,1262800000,1299099904,1331399936,1390700032,1453500032,1610499968,1715399936,1904000000,1984800000,2101299968,2569200128,3161499904,3645900032,4365300224,5480500224,6070600192,6902600192,7878700032,8607500288,8716999680,9050000384,9470000128,9721652292,7231963340,7084399821,7841603176,8410724409,7650125576,9406097461,10440842292,11399942820,12983235119,14656917900,15781579950,17788657194,19393672244,18317089473,19290566570,18702816768,20776640958,21917582105,23965280312,27211230374,30231130543,34113106486,39136286496,37679806312,41190056306
80,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922600899,2041538057,2384295764,2432029380,2666616177,3014890569,3284625277,3279063318,3383218923,3693753379,3869032271,3783788551,3588375984,3461282190,3112362568,2892340076,3053354384,3446417029,3666340828,2937072435,2821345794,4209331037,3778260000,4164652642,4510589866
81,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,78733538.81,78540000,87702857.14,89374185.14,98775303.64,108985752.2,112386559.1,114971282.2,122666792.3,118537824.8,110653830.7,154731919.8,165523638.9,163577519.3,138478894.6,143856252.4,130225023.3,173836468,164457624.2,213143606.2,243961622.9,257150338.2,226313574.4,236880892.4,235620756.4,253960479.2,270419113,268550722.2,206457614.5,224446335.7,215455490.3,199034150.8,203613702.2,475221954.6,522654072.4,572851536.6,578517470.2,690721455.9,846854479.4,834691371.6,878517652
82,Guyana,170216238.9,185849532.9,194949510,175757891.6,194774510.5,213235288.1,228705875.9,250176463.6,229750000,249300000,267800000,282049984,285380950.1,307047633,433954550.6,494791660.3,454439987.2,449880012.8,507079987.2,530439987.2,603200000,570357129.7,482000000,489333333.3,437631601.3,453488352,504651110.6,354591836.4,413799987.2,379779377.6,396582263.9,336708410.1,368281383.5,442273443.7,540874922.2,621626786.3,705406032.3,749138004.2,717530696.5,694754984,712667925.1,696281468.8,722460911.6,741929343,785918769.7,824880550.3,1458449635,1740335166,1922600611,2025496445,2222102182
83,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3476346281,2111405826,1806285587,2124933516,2695499730,2970865203,3242667331,3757500381,4088703120,3664503846,3507981946,3214632479,2826481072,3660678112,4154243481,4879740568,5971284338,6407707284,6478628513,6709802246
84,Honduras,335649984,356200000,387750016,410200000,457000000,508650000,549950016,598099984,646800016,668000032,723000000,731000000,802999968,912499968,1034500000,1124000000,1347999936,1669499968,1929499968,2251499968,2566000032,2819500000,2903500032,3076999968,3319000000,3639499936,3808500032,4152499968,3970386396,3563448320,3048896181,3068462060,3419474979,3481990761,3432356579,3911053180,4034037162,4663193916,5202215657,5372543554,7105541205,7566501476,7776438041,8233948657,8871111447,9757258851,10917599272,12392440366,13969292165,14317854032,15400341888
85,Hong Kong SAR; China,1320799747,1530754831,1724850878,1975045353,2274710597,2440893831,2498293686,2693639149,2727287816,3204798308,3811503935,4457936035,5702110575,8021762190,9373795164,10043625297,12873439354,15706134102,18297189852,22494588739,28818266930,30945568417,32192845700,29783610996,33353926836,35531125658,40911444316,50466914593,59600947989,68752307692,76887034660,88833354781,1.04E+11,1.2E+11,1.36E+11,1.44E+11,1.59E+11,1.76E+11,1.67E+11,1.63E+11,1.69E+11,1.67E+11,1.64E+11,1.59E+11,1.66E+11,1.78E+11,1.9E+11,2.07E+11,2.15E+11,2.09E+11,2.24E+11
86,Hungary,0,0,0,0,0,0,0,0,4684666743,5205833591,5542466667,6032045246,7074918567,8761333583,9603165775,10949295027,12689645219,14173861741,16573684442,19136396852,22163405825,22728019816,23145848310,21006550142,20366467191,20623320309,23756068292,26108718022,28570620031,29167601580,33056134799,33429035927,37254463739,38595683505,41521516338,44656306509,45162689435,45723577831,47049233137,48044272336,47885455754,53190345128,66502083791,84326267610,1.02E+11,1.1E+11,1.13E+11,1.38E+11,1.55E+11,1.29E+11,1.3E+11
87,Iceland,248434097,253885656.3,284916516.2,340061650.1,434267936.9,523694949.4,628893310.4,621225962.2,474399471.6,414709311.4,518902000,660321784.1,827213290.3,1137337701,1492743382,1386032934,1644755717,2175791291,2474614618,2811162828,3331325044,3441249878,3159121963,2724974072,2822006038,2939845038,3930518366,5438537482,6016168896,5588533007,6372905073,6807365898,6976080331,6126456175,6294803497,7018100153,7330965239,7422994706,8291725774,8742600398,8697298234,7922983042,8907207933,10967706062,13233600471,16301846837,16651142959,20428033904,16863767020,12094119523,12593984446
88,India,36603837769,26399913691,26502288725,30400103492,35473701820,58832423352,45301428571,49510666667,52432000000,57730666667,61193733626,66268349146,71128338762,85246069939,98763348781,97000863807,1.01E+11,1.2E+11,1.35E+11,1.51E+11,1.84E+11,1.9E+11,1.98E+11,2.15E+11,2.1E+11,2.3E+11,2.46E+11,2.76E+11,2.93E+11,2.93E+11,3.17E+11,2.68E+11,2.46E+11,2.76E+11,3.24E+11,3.56E+11,3.88E+11,4.11E+11,4.16E+11,4.5E+11,4.6E+11,4.78E+11,5.07E+11,5.99E+11,7.22E+11,8.34E+11,9.51E+11,1.24E+12,1.21E+12,1.38E+12,1.73E+12
89,Indonesia,0,0,0,0,0,0,0,5980840377,7467363479,8798957442,9656740014,9849117953,11605084560,17171181163,27227710999,32147953008,39328674730,48396143465,54298158340,55122620334,78013206038,92473878832,94715163814,85369201879,87612439197,87338874330,80060657612,75929617715,88787623310,1.01E+11,1.14E+11,1.28E+11,1.39E+11,1.58E+11,1.77E+11,2.02E+11,2.27E+11,2.16E+11,95445548017,1.4E+11,1.65E+11,1.6E+11,1.96E+11,2.35E+11,2.57E+11,2.86E+11,3.65E+11,4.32E+11,5.1E+11,5.39E+11,7.07E+11
90,Iran; Islamic Rep.,0,0,0,0,0,6154739685,6706096865,7425389720,8447898398,9482344576,10588052396,13203457893,16346614632,25789290845,44331002246,48942018417,63626810883,74816947679,73033383216,86168280190,90041228622,97085719579,1.22E+11,1.47E+11,1.53E+11,1.71E+11,1.99E+11,1.28E+11,1.16E+11,1.14E+11,1.16E+11,0,0,60088309491,67128216023,90829495171,1.11E+11,1.05E+11,1.03E+11,1.05E+11,1.01E+11,1.15E+11,1.16E+11,1.35E+11,1.63E+11,1.92E+11,2.23E+11,2.86E+11,3.38E+11,3.31E+11,0
91,Iraq,1683918720,1831479819,1954399496,1978199396,2340239147,2558946823,2772051942,2795295537,3173340354,3304396436,3591431141,4144554445,5356083106,6482501969,12996173027,16094547110,19383067724,23326476721,27701970016,39564501728,47562146134,32579844010,36776549881,37495016505,42530668954,44204431808,39991570165,43702264740,43410815201,48422432260,0,0,0,0,0,0,0,10113863358,10468730247,17942362576,25857106736,18936094868,18969591211,0,25755086059,31316963995,45080072237,56989916308,86530068729,65192699145,82150312821
92,Ireland,1939329775,2088012282,2260349684,2430843769,2766608946,2945704143,3104034393,3343636773,3278584478,3787077344,4266416553,4947971286,6131826973,7260654391,7664088315,9204258890,9175093015,10916778568,14216224628,17779345093,21106806125,20060905535,20841753595,20153938190,19513975691,20643048211,27868167225,32920661454,36659485243,38081783245,47852276158,48319942439,54270256541,50872394991,55414618701,67101825432,74057237196,81180205000,88007645411,96292879615,96754681824,1.05E+11,1.23E+11,1.58E+11,1.85E+11,2.02E+11,2.22E+11,2.59E+11,2.64E+11,2.22E+11,2.04E+11
93,Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914727080.6,1023086919,1180919719,1382548250,1567465657,1563667800,1614595291,1897606791,2264911807,2758117365,2915710378,3437450712,4075664785,0,0,0
94,Israel,2887081901,3486954461,2596553912,2992170981,3405458502,3663345598,3980013325,3921085398,3959154192,4568013078,5372301095,5573108413,7173788441,9242160982,12567588804,12336986760,12475947718,13776267566,13618844019,17511335263,21780968646,23196333205,24572712049,27435501837,26042767127,24122660959,29701444276,35476344266,43892480102,44599772802,52490325648,59170288070,65771216221,65925582473,74669718187,96064819727,1.05E+11,1.08E+11,1.1E+11,1.11E+11,1.25E+11,1.23E+11,1.13E+11,1.19E+11,1.27E+11,1.34E+11,1.46E+11,1.67E+11,2.02E+11,1.95E+11,2.17E+11
95,Italy,40385288347,44842760295,50383891902,57710743063,63175417022,67978153854,73654870015,81133120070,87942231683,97085082812,1.09E+11,1.2E+11,1.4E+11,1.69E+11,1.92E+11,2.19E+11,2.17E+11,2.48E+11,3.04E+11,3.79E+11,4.6E+11,4.15E+11,4.12E+11,4.27E+11,4.22E+11,4.36E+11,6.17E+11,7.76E+11,8.59E+11,8.95E+11,1.13E+12,1.2E+12,1.27E+12,1.02E+12,1.05E+12,1.13E+12,1.26E+12,1.19E+12,1.22E+12,1.2E+12,1.1E+12,1.12E+12,1.22E+12,1.51E+12,1.73E+12,1.78E+12,1.86E+12,2.12E+12,2.3E+12,2.11E+12,2.05E+12
96,Jamaica,699064357.3,748043414.1,777727657,826706669,897948941.6,972159571.2,1096759516,1148014336,1083839096,1191239556,1404720459,1539862371,1875146657,1905861157,2375122421,2860442775,2966042882,3249733207,2644527877,2425064186,2679379401,2979027961,3293496303,3619262288,2373564501,2100239027,2754549678,3287007232,3828342820,4404938028,4592208212,4106205952,3535452386,4891215397,4938132518,5813471982,6527302708,7472532258,8742153397,8830909008,9008629729,9104515930,9676893929,9398942821,10134991342,11151727459,11989334129,12893737821,14121426277,12651603067,13994534275
97,Japan,44307342950,53508617739,60723018684,69498131797,81749006382,90950278258,1.06E+11,1.24E+11,1.47E+11,1.72E+11,2.06E+11,2.33E+11,3.08E+11,4.19E+11,4.65E+11,5.05E+11,5.68E+11,6.99E+11,9.82E+11,1.02E+12,1.07E+12,1.18E+12,1.1E+12,1.2E+12,1.28E+12,1.36E+12,2.02E+12,2.45E+12,2.97E+12,2.97E+12,3.06E+12,3.48E+12,3.8E+12,4.35E+12,4.78E+12,5.26E+12,4.64E+12,4.26E+12,3.86E+12,4.37E+12,4.67E+12,4.1E+12,3.92E+12,4.23E+12,4.61E+12,4.55E+12,4.36E+12,4.38E+12,4.88E+12,5.03E+12,5.5E+12
98,Jordan,0,0,0,0,0,599759760.1,657999736.8,631679747.3,561119775.6,698879720.4,639519744.2,678159728.7,788479684.6,943783839.7,1197483949,1363073498,1648879611,2054259917,2549856851,3266374324,3961735336,4446589778,4825925127,5036644917,5153655079,5119290466,6182314853,6525458032,6049822064,4128435577,4020267827,4193336134,5310833151,5605775322,6237267189,6727454311,6928490841,7248048123,7914118277,8151541084,8463892909,8980439920,9584232160,10197756160,11411390547,12588665468,15645466528,17765381660,22696902204,25092339119,27573536000
99,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26932728899,24881135586,24906939560,23409027476,21250839258,20374307047,21035357833,22165932063,22135245413,16870817135,18291990619,22152689130,24636598581,30833692831,43151647003,57123671734,81003864916,1.05E+11,1.33E+11,1.15E+11,1.43E+11
100,Kenya,791265462.1,792959474.9,868111409.7,926589364.4,998759340.7,997919320.8,1164519674,1232559507,1353295459,1458379417,1603447359,1778391289,2107279157,2502143759,2969958812,3259346415,3474544468,4494379307,5303737169,6234390279,7265312883,6854490191,6431594078,5979205950,6191426332,6135040561,7239145307,7970816494,8355380879,8271729986,8590574252,8152105054,8220718083,5751786610,7148143144,9046331923,12045836992,13115729422,14093228425,12896050252,12691278914,12986519857,13149263399,14903634448,16096109637,18737922545,22502239913,27173670134,30031427403,29375775194,31408632915
101,Kiribati,0,0,0,0,0,0,0,0,0,0,14295279.54,15278632.48,18936526.95,31710657.73,85637174.37,55081816.99,41109627.28,38748059.44,45210026.32,42620165.44,27935549.99,29307055.85,29659194.64,29432432.43,28646774.9,21294783.16,20572860.96,23924520.38,30842253.3,29558753.76,28413863.09,47797290.48,49724297.12,48613513.78,56200396.15,57610362.17,67866700.01,69151989.76,67096993.69,70595807.35,68239320.7,63810762.05,74173806.51,93517283.95,102405530.2,108938510.7,109671822.2,127854317.3,132506609.3,128004027.8,151175994
102,Korea; Dem. Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Korea; Rep.,3891849048,2357059045,2745939979,3863726949,3358134143,3017614366,3806043709,4702747059,5955336766,7475692344,8899729521,9851361083,10735574843,13691504318,19229361881,21458884298,29554752066,37926239669,51125206612,65561776860,63834351283,71469245114,76218197735,84510602643,93210997792,96619732880,1.11E+11,1.4E+11,1.87E+11,2.3E+11,2.64E+11,3.08E+11,3.3E+11,3.62E+11,4.23E+11,5.17E+11,5.58E+11,5.16E+11,3.45E+11,4.45E+11,5.33E+11,5.05E+11,5.76E+11,6.44E+11,7.22E+11,8.45E+11,9.52E+11,1.05E+12,9.31E+11,8.34E+11,1.01E+12
104,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849196082,2535333632,2702427047,3355083117,3639935348,3743116980,3915494726,4677361256,5641557748,5434843012,5590728477
105,Kuwait,0,0,1828179057,1900970259,2071749620,2097199075,2391198945,2441598923,2662798826,2769198779,2873638822,3880392338,4450537866,5408804503,13006948809,12022811524,13132252303,14137407257,15503557923,24749064363,28638869294,25058021180,21577153433,20871081552,21700083143,21445970693,17903989900,22368703293,20690321183,24313856915,18427778571,11009955543,19858555905,23941392355,24848484745,27191687674,31492937201,30350433060,25946185994,30120888964,37718011469,34890773740,38138801497,47875837662,59440511982,80797945205,1.02E+11,1.15E+11,1.49E+11,1.09E+11,0
106,Kyrgyz Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2674000000,2570833333,2316562400,2028295455,1681006993,1661018519,1827570586,1767864036,1645963750,1249062025,1369691955,1525113501,1605640633,1919012781,2211535312,2459876152,2834168889,3802566171,5139957785,4690031792,4616156122
107,Lao PDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757142806,2366666615,1776842041,1087273076,598961279.4,714046803.2,865559856.2,1028087947,1127806918,1327748655,1543606382,1763536299,1873671511,1747011884,1280177847,1454430642,1735155219,1768619058,1829660933,2148830164,2507094678,2738209639,3497318142,4262812789,5497625803,6095274080,7492313581
108,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5715853653,6827011059,7690315589,7447002857,6756418264,4848056772,4467987271,5060854731,5235719779,5585292783,6133234180,6616957681,7288524473,7833068425,8313047744,9314784080,11186452601,13761569545,16041840426,19935046397,28765687042,33669367720,25875781250,24009680460
109,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313539979,2717998713,2838485398,4451497337,5545921821,7535259914,9599127189,11718795352,13690217121,15751867489,17247179483,17391056437,17260364842,17649751244,19152238806,20082918740,21801658375,21838805970,22437147595,25056716418,30079601990,34924709784,39154916946
110,Lesotho,34594031.67,35714486.14,41876985.71,47059087.62,51961075.91,54901961.81,56722690.14,59285715.39,61470589.38,65994398.99,68767508.29,76503499.31,80884265.93,121181555.2,150957285.7,149459457.5,147586206.1,193218389.7,266436780.1,290142515.2,431450586.4,433940764.1,401841633.3,418043101.9,365491541.2,289905775.4,323194722.2,364214815.7,423590347.5,448661739.4,540781148.2,599015735,708187243.7,705874860.4,738211154.7,814280442.5,796081272.5,837654100.2,800117786.2,783167363.7,745832990.1,686484199.5,638601203.3,947163200.8,1234520117,1354859672,1414900687,1581173532,1600614923,1720263875,2132495561
111,Liberia,190495648,183920944,191861808,200229616,236091648,248728736,262988160,281346112,299874816,330357536,348715456,367073408,398324608,420610272,527513248,619815296,650468736,745332352,805785472,911578432,953588224,934974208,958028288,911066112,934120256,934974208,926435520,972800000,1038300032,786300032,384400000,348000000,223500000,160400000,132200000,134800000,159400000,295900000,359600012.5,441800017.8,560900012.2,543000031.7,559300023.6,410200003.6,459999996.2,530200009.3,611859674.7,734933279.2,842507277.6,879464612.6,986201593.7
112,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28904898118,31992732972,33887047909,30660051911,28610549763,25541379187,27884615385,30700897875,27251534530,30484399896,33896600871,28420321952,19842519685,24062500000,33384615385,44000000000,56484375000,71803278689,93167701863,62360446571,0
113,Liechtenstein,0,0,0,0,0,0,0,0,0,0,90099360.77,104889797.8,124940284.9,165928854,193980461.9,246389070.1,272489354.1,303493105.4,436912093.1,503173087.2,534699256.8,511647837.1,522096760.5,524023708.3,502620920.7,529073612.5,779357947,1052849231,1161757671,1119983791,1421508901,1484160640,1631176617,1673085623,1948128896,2428524750,2504013004,2298390584,2479698579,2664105901,2483890594,2491800559,2688617885,3070803431,3454374261,3658356378,3988775844,4602346923,4929414915,4826167676,0
