Point,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
14,Bahamas; The,169802257.8,190096176.6,212252822.2,237742768.5,266664053.7,300392162.5,340000006.4,390196085.7,444901969.1,528137296.2,538423199.5,573400000,590899968,670899968,632400000,596200000,642099968,713000000,832400000,1139800064,1335299968,1426499968,1578300032,1732800000,2041100032,2320699904,2472499968,2713999872,2817900032,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4204761925,4714138319,5150088040,5528200495,5658890129,5912310096,5942440640,6031700548,6508774909,6875630000,7233960000,7297903886,7077192101,7538000000
15,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072698346,3467819353,3645744806,3735106511,3905585155,3651861912,3052393636,3392021223,3702393659,3863564047,4229787379,4616223477,4751063992,5200266050,5567553552,5849468115,6101861656,6349202600,6183941092,6621186419,7970690894,7928934210,8491183201,9747599583,11235671061,13460198290,15854942951,18473097689,21902892584,20594899946,0
16,Bangladesh,4274893910,4817580182,5081413345,5319458349,5386054613,5906636554,6439687606,7253575403,7483685483,8471006092,8992721807,8751842837,6288245866,8067027104,12459282561,19395903916,10083163547,9632469659,13299358553,15585961410,18114645161,19762945710,18087000000,17155798869,19670160944,21613230769,21160234384,23781404932,25638749373,26825240347,30128776344,30957444767,31708863730,33166530060,33768661427,37939752960,40666015641,42318798538,44091754148,45694072379,47124925462,46987842847,47571130071,51913661485,56560744012,60277560976,61901116736,68415421373,79554350678,89359767442,1E+11
17,Barbados,87383113.71,93216432.38,96949756.33,109083059.2,108383060.9,114683045.1,123608022.7,137103729.9,137300000,154400000,181500000,204010328.9,233383640,284759098.1,340492903.7,402158285.8,435871861.9,495116619.3,552876225.3,670312672.3,860438453.3,946949724.9,989409791.7,1050464828,1144931026,1198180246,1315567053,1448665028,1540893883,1703922715,1710435931,1687167462,1588499968,1641226964,1726942730,1859145793,1982896516,2192363133,2364540277,2468403493,2558850048,2554187134,2476105824,2694879718,2824000000,3005000000,3190900000,3409200000,3670215313,3595210913,3203000000
18,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17369598958,17813389815,17022180272,16280372553,14931599418,13972637603,14756861538,14128412417,15222014828,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961918859,45275711996,60763483146,49271267252,54713128376
19,Belgium,11658722591,12400145222,13264015676,14260017388,15960106681,17371457609,18651883473,19992040789,21376353114,23710735896,26346106874,29419565365,36707709880,47100054657,55277564147,64792626094,70155029185,81722945222,99881382362,1.15E+11,1.25E+11,1.03E+11,90854164224,86008702327,82225698269,85105078538,1.18E+11,1.47E+11,1.6E+11,1.62E+11,2.03E+11,2.08E+11,2.32E+11,2.22E+11,2.42E+11,2.84E+11,2.75E+11,2.49E+11,2.55E+11,2.54E+11,2.32E+11,2.32E+11,2.52E+11,3.11E+11,3.61E+11,3.77E+11,3.99E+11,4.59E+11,5.05E+11,4.71E+11,4.67E+11
20,Belize,28072504.98,29965035.39,31857563,33750090.61,36194610.8,40069931.54,44405596.03,47379308.79,44910180.79,47305390.44,53233534.3,59207317.59,66062499.02,78343558.51,103216372,118066302.1,96905828.77,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550016,314900000,363150016,413049984,444720726.5,518143678.5,559759653.3,580760211.3,620031771.9,641271333.4,654198121.1,688872472.7,732607993.8,832072464.7,871840755.4,932676403.2,988199088.3,1056303706,1114874608,1213104430,1276751656,1358700000,1351500000,1431500000
21,Benin,226195665,235668323.7,236435009.1,253927753.7,269819098.9,287807536.1,301487528.6,305168668.5,327267886.4,331067368.7,332057719.9,332928662,410035135.3,504804547,555126877.7,676847693.8,698322044.3,750079359.5,928908759.4,1186240181,1405115857,1291127040,1267725655,1095336784,1051126009,1045719663,1336124851,1562394310,1620236362,1502286360,1845041494,1877810375,1624296267,2106272068,1496845630,2009226254,2208067090,2156753028,2334564287,2387363924,2254838685,2371785987,2807357351,3557983482,4047438049,4287463884,4734839067,5546177809,6682744914,6638062120,6633055846
22,Bermuda,84466654.08,89249986.7,94149985.97,96366652.31,107566650.6,114339049,134173373.8,155102984.6,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3507864000,3660790000,3919849000,4168843000,4464576000,4846147000,5387377000,5860745000,6067898000,5715300000,0
23,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137241595.3,144343732.3,155750843.1,161299396.6,166959855.2,188730201.3,228602423.4,261809401.9,261388751.8,281287043,243562708.4,238315817.7,227267326.6,253233784.1,286478236.5,300967232.4,342864384.2,355712835.2,396694740.6,427808817.3,455709385.9,507270767.6,610970025.7,702744043.3,818869145.8,897731525.1,1196077342,1257625055,1264816920,1516078205
