Launch Chrome 12.0.742.122,0.709954862766179
Type URL to SunSpider benchmark,2.73744029351007,93.7083641228225
SunSpider Benchmark Success,18.5283420834986,170.217610035703
Close Chrome,0.449084166860285,118.141223454946
Total,21.714866543868954,37.05067096784725
