Launch IE,0.875040933527373
Type URL to SunSpider benchmark,1.97964564311576,129.579277322072
SunSpider Benchmark Success,17.5175287886311,180.039670288649
Close IE,0.435227162684637
Total,19.49717443174686,0.0
